name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,price,area,floor_count,frontage_width,house_depth,road_width,bedroom_count,bathroom_count,house_direction,balcony_direction,published_at,latitude,longitude
Bán Đất Tặng Nhà - Duy Nhất 1 Lô Gần Đường Lê Thanh Nghị - Dã Tượng - Nha Trang.,"Chính chủ bán căn nhà tâm huyết - Khu Bộ đội nên rất An Ninh - cách biển 400m,gần nhà công vụ hải quân,gần chợ, trường học.. -Diện tích 72m2, ngang 5m. Giá 5tỷ4 (thương lượng) Liên hệ: [phone_number]Anh Tuấn) để biết thêm thông tin chi tiết.",Nhà,Khánh Hòa,Nha Trang,Vĩnh Nguyên,,,5828112000,72.0,4.0,5.0,,,4.0,3.0,,,2025-06-10T13:58:47.779000,12.231489,109.211377
Bán nhanh căn góc 3 ngủ/90m2 Sunshine Riverside - view sông Hồng - giá 7.4 tỷ có sổ. LH [phone_number],"Giá tốt bán nhanh căn 3 ngủ chung cư Sunshine Riverside Tây Hồ: - Căn góc DT 90m² (thông thủy), thiết kế 3 ngủ, 2WC, 2 ban công rất thoáng. - Tầng trung đẹp, view sông Hồng, các phòng đều được đón sáng tự nhiên. - Nhà đã hoàn thiện đầy đủ nội thất cao cấp CĐT: Sàn gỗ, điều hòa âm trần, TBVS, tủ bếp,... Bán nhanh: 7.4 tỷ (thỏa thuận), sẵn sổ sang tên, sẵn nhà bàn giao ngay. Anh/chị quan tâm LH xem nhà: [phone_number] em Lý.",Căn hộ chung cư,Hà Nội,Tây Hồ,,,Sunshine Riverside,8911159000,90.0,7.0,,,,3.0,2.0,Đông,,2025-06-04T11:26:05.659000,21.088098,105.830567
Nhà hai mặt tiền ngay chợ Hoà Hưng,"Bán nhà 2 Mặt tiền 557 Cách Mạng Tháng Tám, DT 4.1x22m, 5 tầng BTCT, ngay chợ Hòa Hưng, P. 15, Q. 10. Nhà hai mặt tiền vị trí vip ngay chợ Hoà Hưng thu nhập cao. Diện tích: 4.1m x 22m, tổng 88m² công nhận đủ. Kết cấu: 1 trệt, 4 lầu BTCT kiên cố gồm 6 phòng 6 WC, sân thượng trước sau. Vị trí thuận lợi: Hai mặt tiền Cách Mạng Tháng Tám trung tâm Q. 10, ngay chợ Hoà Hưng tuyến đường kinh doanh sầm uất. Lợi thế: Nhà cho thuê tầng trệt 42 triệu/tháng còn hơn 1 năm. Các tầng trên trống, tiềm năng khai thác tối đa (trước cho ngân hàng thuê 70 triệu/tháng). Khu vực đa ngành nghề: Spa, văn phòng, showroom. Pháp lý: Sổ hồng riêng, hoàn công đủ công chứng trong ngày. Giá bán: 26 tỷ thương lượng.",Nhà,Hồ Chí Minh,10,15,Cách Mạng Tháng Tám,,20973004000,88.0,5.0,4.0,,,4.0,3.0,Tây Nam,Tây Nam,2025-06-18T09:45:44.494000,10.774336,106.678949
Bán lô góc 2 mặt tiền Hà Kỳ Ngộ - Lê Lâm - gọi Đàm Tiến,"- Đất 2 mặt tiền ""vàng"" Hà Kỳ Ngộ - Lê Lâm - Đà Nẵng. - Lô đất 2 mặt tiền cực hiếm trên các trục đường Hà Kỳ Ngộ và Lê Lâm. Đây là cơ hội vàng cho nhà đầu tư hay những ai muốn sở hữu bất động sản giá trị cao. * Diện tích: 190m2. * Mặt tiền: Ngang 10m. * Đường: Rộng 15m (mặt tiền đường), lề 7.5m. * Hướng Đông Nam. * Giá: 150 triệu/m2. - Gọi [phone_number] Tiến.",Đất,Đà Nẵng,Sơn Trà,Phước Mỹ,Hà Kỳ Ngộ,,19847400000,190.0,0.0,10.0,,,0.0,0.0,Đông Nam,,2025-06-07T10:47:52.529000,16.095613,108.250456
"Căn 3PN Alnata 117m2 view hồ cảnh quan, tầng cao đẹp giá 7.6ty (102%)","Hot hot anh chị ơi Căn Diamond Alnata cần chuyển nhượng, đang cho thuê, có sẵn hợp đồng thuê 23tr/tháng DT 117m2, 3PN 2WC Nhà full nội thất Đang cho thuê 23tr/tháng View hồ cảng quan, công viên 16ha siêu đẹp Bước xuống nhà là siêu thị, Starbuck, Phúc Long Sát công viên lớn 16ha Giá bán full nội thất 7ty6 (102%) Anh chị quan tâm xem nhà liên hệ Em Tươi - PKD Gamuda Land SĐT/Hotline/Viber/Zalo: [phone_number] Mail: tuoi.nguyenthicam@gamudaland.com.my Add: 68 đường N1, Sơn Kỳ, Tân Phú (nhà mẫu Celadon City) Cảm ơn Anh Chị đã dành thời gian xem tin.",Căn hộ chung cư,Hồ Chí Minh,Tân Phú,Sơn Kỳ,N1,Diamond Alnata,12010955900,117.0,7.0,,,,3.0,2.0,Tây Nam,Đông Bắc,2025-06-11T05:18:29.915000,10.790843,106.635079
"Nhà Bùi Thị Xuân gần sân bay Tân Sơn Nhất giao thông thuận tiện, phù hợp đa ngành nghề","Hẻm xe hơi thông - sổ vuông đẹp - chờ sửa xong up ảnh. Nhà 229 / Bùi Thị Xuân, P. 1, Q. TB, thích hợp ở kết hợp kinh doanh hoặc đầu tư cho thuê. DT: 4 x 15,5m, 62m2, 2 tầng. Giá cực tốt: Chỉ 4.999 tỷ cơ hội hiếm có! Khu hiếm nhà bán liên hệ ngay để không bỏ lỡ! Liên hệ gặp ngay chính chủ thương lượng.",Nhà,Hồ Chí Minh,Tân Bình,1,Bùi Thị Xuân,,9137244500,62.0,2.0,4.0,,5.0,3.0,3.0,,,2025-06-12T08:27:37.283000,10.784161,106.664036
"Phân lô, ô tô, vỉa hè - Phố Hoàng Quốc Việt, Cầu Giấy - DT 41m2, 4 tầng, mặt tiền 4,1m - Sổ đẹp","Nhà khu Phân lô - Vỉa hè, ô tô tránh - Vị trí đẹp, gần mặt phố. Khu vực văn minh, hàng xóm đều là người có tiền, quan chức, cán bộ. - Diện tích 41m2 x 4 tầng .. mặt tiền 4.1m. - Giá 16.7 tỷ. - Sổ đỏ vuông đẹp, không lỗi lầm. ** LH Em Dương: [phone_number]",Nhà,Hà Nội,Cầu Giấy,Nghĩa Tân,Hoàng Quốc Việt,,9709835250,41.0,4.0,4.1,,,4.0,3.0,,,2025-06-23T02:19:27.548000,21.036755,105.798146
Bán lô đất TCD Bà Cằng view công viên cực đẹp giá tốt,"Bán lô đất TDC Bà Cằng - đối diện Vườn hoa. - 120m2 - 34tr/m2. Địa chỉ: Đường Cầu Rào 3, Phường Hòa Nghĩa, Dương Kinh, Hải Phòng. Mô tả. Chính chủ gửi bán lô đất tái định cư Bà Cằng. Vị trí: Dự án TDC Bà Cằng đối diện Vinhomes Dương Kinh, gần ngay cổng vào Vinhomes. Lô đất đối diện vườn hoa của dự án TDC Bà Cằng. Vị trí cực kỳ đắc địa, tiền năng tăng giá cao khi Vinhomes Dương Kinh làm hạ tâng, làm đường và mở bán. Diện tích 120m2. Pháp lý: Đã có số đó lâu dài, giao dịch ngay. Giá bán 34triệu/m2 có ra lộc cho khách. Giá còn rất tiềm năng khi Vinhomes mở bán dãy. Shop đôi diện. Lh:",Đất,Hải Phòng,Dương Kinh,Hòa Nghĩa,,,5188800000,120.0,0.0,,,,0.0,0.0,,,2025-06-28T15:31:38.968000,20.834589,106.690407
"SIÊU HIẾM 220m2 RẺ NHẤT Hòa Thạch-Quốc Oai, ngay gần UBND xã, cách đường liên xã 50m, 13 triệu/m2","Bác em cần tiền xây nhà cắt đất ra bán. Bác em cần tiền gấp nên bán giá rất rẻ. - Nằm ở mặt đường rộng 4m ô tô vào thoải mái. - Sổ đỏ chính chủ, không dính quy hoạch, không tranh chấp. - Cách chợ 100m, đầy đủ hàng hóa để mua sắm. - Cách đường liên xã 50m, đi đâu cũng tiện. Liên hệ ngay - Xung quanh dân cư cực kỳ đông đúc, hàng xóm thân thiện. - Đất bằng phẳng, khí hậu mát mẻ thích hợp đầu tư hoặc mua xây ở. - 1 Phút ra trường mầm non, 3 phút ra trường tiểu học + THCS. - Xung quanh đất dân đang bán 15 - 20 triệu/m2, để tìm được lô đất giá rẻ như lô này là rất khó anh/chị ạ. Giá chủ thiện chí bán 13 triệu/m2. Anh/chị quan tâm thì liên hệ ngay em Thắm: để đi xem đất và thương lượng với chủ đất anh/chị nhé!",Đất,Hà Nội,Quốc Oai,Hòa Thạch,,,20699250000,220.0,0.0,9.0,,4.0,0.0,0.0,,,2025-06-04T00:21:59.750000,21.030898,105.869583
"Bán Nhà Ngõ 35 Lê Đức Thọ Mỹ Đình - 5 tầng - full đồ - 1 nhà ra Ô tô chạy vèo vèo - 8,x Tỷ","Nhà xây khugn côt chắc chắn, 5 tầng 6 phòng ngủ, đủ công năng. Vài bước chân ra ô tô dừng đỗ, ngõ trước nhà rộng hơn 2m, cực thoáng. Gần mặt phố Lê Đức Thọ, gần bến xe Mỹ Đình, tiện ích xung quanh ngập tràn. Di chuyển 2ph ra sân vận động Mỹ Đình, xem bóng đá, sự kiện pháo hóa dịp lễ Tết thoải mái Ngõ dân trí cao, an ninh cực tốt. Sổ vuông, chính chủ, nở hậu nhẹ, sẵn sàng giao dịch Gọi ngay e Thành Mỹ Đình Nhận tìm nhà theo tiêu chí của khách.",Nhà,Hà Nội,Nam Từ Liêm,Mỹ Đình 2,Lê Đức Thọ,,7916660500,42.0,4.0,,,,4.0,3.0,,,2025-06-27T07:48:43.661000,21.031212,105.871102
Cần chuyển nhượng căn Vinhomes Ocean Park I khu shophouse cao cấp giá 15.3 tỷ. LH [phone_number],"Chuyển nhượng căn Vinhome Ocean Park I, khu Shop House khu cao cấp phong cách Nhật Bản, khu ha 09 - 3B - 21/. - Căn góc mặt tiền đất ngang 8m, 2 mặt thông thoáng, tiện kinh doanh. - Diện tích đất 135m2, DT xây dựng (57m2 gồm 5 tầng + 1 tum)... Đường lát đá Granit + ánh sáng nghê thuật các ngày/tuần. View gần biển, hồ nước mặn.... - Giá bán: 114 triệu/m2 (tương ứng 15.3 tỷ) bao phí đến công chứng. Liên hệ ĐT: [phone_number] * BDS đang ở NH... Ai thiện chí alo trưc tiếp Chủ ép giá thoải mái....",Shophouse,Hà Nội,Gia Lâm,,,Vinhomes Ocean Park,26774796938,135.0,3.0,8.0,,,3.0,3.5,,,2025-06-04T07:40:22.919000,21.022993,105.866006
Bán nhà Hoàng Hoa Thám - Ngọc Hà - Ba Đình - 32m2 5.35 tỷ,"Vị trí đẹp, cách ôtô 30m, kết nối Thuỵ Khuê, Liễu Giai, Đội Cấn... Nhà đẹp full nội thất, chủ mới chỉ việc xách vali về ở, gồm: Tầng 1: Khách, bếp, wc. Tầng 2: 1 ngủ rộng khép kín. Tầng 3: 2 ngủ, 1 wc. Sổ đẹp nở hậu. Liên hệ: Mr Khôi [phone_number]/[phone_number] để đi xem nhà trực tiếp (không tiếp TG, MG).",Nhà,Hà Nội,Ba Đình,Ngọc Hà,Hoàng Hoa Thám,,5494716000,32.0,4.0,,,,3.0,3.0,,,2025-06-25T12:06:07.580000,21.019955,105.851765
"Bán CC mini 18PN, 19WC, 111m2 tại Lê Quang Đạo, Phú Đô, Nam Từ Liêm","Nhanh tay sở hữu căn hộ CC mini 18PN + 19WC + bếp tại đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội. Căn hộ có diện tích 111m2, được thiết kế hiện đại với nội thất đầy đủ, sẵn sàng cho cuộc sống tiện nghi. Pháp lý đầy đủ đảm bảo an toàn cho giao dịch. - Điểm đặc biệt: - 18 phòng ngủ, 19 phòng tắm, không gian rộng rãi. - Nội thất bao gồm điều hòa, giường, tủ lạnh... - Phong thủy tốt, tạo cảm giác thoải mái và dễ chịu cho cư dân. - Địa điểm tiện ích xung quanh: - Gần bệnh viện răng hàm mặt Hồng Ngọc, bệnh viện đa khoa Hồng Ngọc, bệnh viện thể thao Việt Nam. - Siêu thị Hà Đăng. - Công viên Mễ Trì. - Trường tiểu học Phú Đô, trường mầm non Mỹ Đình 1, trường THCS Mễ Trì. Liên hệ ngay để biết thêm thông tin chi tiết.",Nhà,Hà Nội,Nam Từ Liêm,Phú Đô,Lê Quang Đạo,,20565102750,111.0,4.0,,,,4.0,3.0,,,2025-06-04T09:06:33.344000,21.013516,105.860332
"Chính chủ bán đất xuân đỉnh- ô tô tránh- kinh doanh- dt 137m2, mt 6m- giấy phép xây 8t- 24.2 tỷ tl","CHÍNH CHỦ CẦN BÁN MẢNH ĐẤT MẶT NGÕ ĐƯỜNG XUÂN ĐỈNH DT 137m2, Mt 6m, đã xin giấy phép xây dựng 8 Tầng thang máy. - Trước nhà ô tô tránh, Kinh doanh gì cũng được. - Hiện trạng nhà c4 - Sổ đỏ nở hậu cực đẹp, giá tốt còn thương lượng. Lh [phone_number] ( Anh Thành) để trao đổi trực tiếp.",Đất,Hà Nội,Bắc Từ Liêm,Xuân Đỉnh,Xuân Đỉnh,,20736637500,137.0,0.0,,,,0.0,0.0,,,2025-06-13T04:46:20.684000,21.063315,105.779719
"Nhà hẻm kinh doanh 10m thông, 3 lầu 80m2 5x15, phan huy ích, 8.2 tỷ tl","HẺM KINH DOANH XE TẢI THÔNG 10M- NHÀ 2 LẦU, PHAN HUY ÍCH Diện tích: - Ngang 5 Dài 15 - Kết cấu 1 Trệt 2 Lầu Tiện mua làm Spa, Kinh doanh online, xây chdv khu xây được Hầm-Trệt- 5 Lầu Giá 8.2 TỶ CÒN TL CHÍNH CHỦ",Nhà,Hồ Chí Minh,Tân Bình,15,Phan Huy Ích,,13207540000,80.0,4.0,5.0,,,4.0,3.0,Đông,Đông,2025-06-11T13:24:44.488000,10.784505,106.657139
Chính chủ bán căn hộ 66m² – 2 phòng ngủ full nội thất tại khu đô thị Thanh Hà Cienco 5,"Gia đình chuyển xuống nhà đất cần bán nhanh căn hộ tại tầng 8 tòa HH02C, khu B2.1 – KĐT Thanh Hà Cienco 5. Căn hộ được thiết kế hợp lý, không gian thoáng mát với nội thất đầy đủ, khách mua chỉ cần xách vali vào ở ngay mà không cần đầu tư thêm. Thông tin chi tiết: • Diện tích: 66m² • Thiết kế: 2 phòng ngủ, 2 vệ sinh, bếp riêng, phòng khách rộng, logia • Vị trí: Tầng 8 tòa HH02C – khu B2.1, Thanh Hà Cienco 5 • Hướng cửa: Nam • Ban công: Hướng Bắc, nhìn sân chung, tạo không gian thoáng mát • Pháp lý: Hợp đồng mua bán chính chủ Nội thất có sẵn: • Điều hòa, máy giặt, máy lọc nước • Giường, tủ quần áo, bàn ghế phòng khách • Tủ bếp, kệ bếp, bình nóng lạnh → Nhà mới, sạch sẽ, vào ở ngay Tiện ích xung quanh: • Gần chợ, siêu thị, công viên, hồ điều hòa, trường học • Hàng xóm văn minh, phí dịch vụ thấp • Giao thông thuận tiện kết nối đến Nguyễn Xiển, Linh Đàm, Hà Đông Giá bán: 2 tỷ 640 triệu Hỗ trợ vay ngân hàng lên đến 95% giá trị căn hộ Liên hệ chính chủ: [phone_number] (Em Tân) Xem nhà thực tế – Giao dịch minh bạch, pháp lý rõ ràng Thông tin chi tiết ⬇️⬇️⬇️ Bán chung cư KĐT Thanh Hà Cienco 5, Chung cư Thanh Hà Cienco 5, Loan Quý Land, Chung cư Thanh Hà.",Căn hộ chung cư,Hà Nội,Thanh Oai,,,Khu đô thị mới Thanh Hà B (Khu đô thị Thanh Hà Mường Thanh),5402760000,66.0,7.0,8.0,8.0,,2.0,2.0,,,2025-06-23T02:17:46.990000,21.041126,105.860129
(HOT) Bán gấp CĂN GÓC 2 MẶT TIỀN KHU BÀU CÁT - 4.1 x 15m - 5 lầu thang máy,"BÁN NHÀ GÓC 2 MẶT TIỀN KHU BÀU CÁT, TÂN BÌNH 5 LẦU, THANG MÁY NHÀ MỚI ĐẸP Vị trí cực đẹp: Mặt tiền đường chính 20m, hẻm hông 7m, thông thoáng, xe hơi, xe tải ra vào thoải mái. Diện tích: 4.1 x 15m vuông vức, phong thủy tốt. Kết cấu: Trệt 5 lầu có thang máy, nhà mới đẹp, vào ở hoặc khai thác ngay Thích hợp mở văn phòng, spa, căn hộ dịch vụ hoặc cho thuê kinh doanh Giá bán: 14.7 tỷ TL (Liên hệ trực tiếp để có giá tốt nhất). Xem nhà và làm việc chính chủ gặp Tuấn [phone_number] [phone_number]Zalo, viber 24/24)",Nhà,Hồ Chí Minh,Tân Bình,14,Bàu Cát,,12950655000,60.0,4.0,,,,4.0,3.0,,,2025-06-06T12:33:27.377000,10.8053,106.662278
"Bán gấp căn Studio full nội thất, sẵn khách cho thuê. Giá chỉ 1,8tỷ liên hệ xem nhà ngay [phone_number]","Gia đình cần bán gấp căn studio diện tích 30m2. Đầy đủ full nội thất mới đẹp. Tầng trung, thoáng đẹp. Giá chỉ 1,8 tỷ. Nhà sẵn sổ giao dịch ngay. Có hỗ trợ vay bank. Liên hệ đi xem nhà ngay: [phone_number]",Căn hộ chung cư,Hà Nội,Gia Lâm,,,Vinhomes Ocean Park,2665800000,30.0,7.0,,,,2.0,2.0,,,2025-06-10T01:22:36.673000,21.022993,105.866006
Chính chủ gửi bán lô góc 2 mặt tiền thanh lương 7 và nguyễn thị sáu,"CHÍNH CHỦ GỬI BÁN LÔ GÓC 2 MẶT TIỀN THANH LƯƠNG 7 VÀ NGUYỄN THỊ SÁU , HÒA XUÂN Vị trí vàng: Block B1.114 Lô góc cực thoáng, khu dân cư hiện đại, văn minh Diện tích rộng: 215,5m² | Ngang 11m Dễ thiết kế biệt thự, công trình sang trọng Hướng đẹp: Đông Nam & Đông Bắc Đón gió, phong thủy tốt Tiềm năng sử dụng: Xây biệt thự, văn phòng, showroom cao cấp Giá bán: 11 tỷ Rất hợp lý cho vị trí đẹp, lô góc hiếm Pháp lý rõ ràng: Sổ đỏ chính chủ, sang tên nhanh chóng Liên hệ ngay: Phước Phan [phone_number] Cơ hội đầu tư và an cư lý tưởng ngay trung tâm Hòa Xuân Không nên bỏ lỡ!",Đất,Đà Nẵng,Cẩm Lệ,Hòa Xuân,,,13981130000,215.5,0.0,11.0,,,0.0,0.0,Đông Nam,,2025-06-19T06:13:04.482000,16.01797,108.198888
NHÀ ĐẸP 4 TẦNG - 88m - 4PN - 8.4 TỶ - Linh Đông gần Chung cư 4S Thủ Đức,"BÁN NHÀ HẺM XE HƠI - ĐẸP Ở NGAY LINH ĐÔNG GẦN CHUNG CƯ 4S - 88M - 4 TẦNG - 4PN - 8.5 TỶ. + Kết cấu: Trệt, 2 lầu, sân thượng trước sau, 4PN, 5WC, sân xe hơi, tặng 1 số nội thất. + Diện tích: 88m (4x22) + Pháp lý: Sổ hồng chính chủ, hoàn công đủ. + Hẻm: 7m, khu phân lô đồng bộ, dân trí, an ninh. + Vị trí: Gần chung cư 4S Linh Đông, 5 phút chợ Thủ Đức , tiện di chuyển sân baykhoangr 20p, các Quận trung tâm.",Nhà,Hồ Chí Minh,Thủ Đức,Linh Đông,30,,14423294000,88.0,4.0,,,,4.0,3.0,,,2025-06-27T04:27:35.676000,10.853905,106.745731
"Bán nhà 1 trệt 1 lầu 82,8m2 3ty950TL gần Ngã Tư Chiêu Liêu P.Tân Đông Hiệp Tp Dĩ An","MÃ HTL6649 Bán nhà 1 trệt 1 lầu gần Ngã Tư Chiêu Liêu P.Tân Đông Hiệp Tp Dĩ An DT 82,8m2 (4x20m) thổ cư 60m2 Thiết kế : sân ô tô, phòng khách, bếp, 3 phòng ngủ, phòng thờ, 3WC Đường 4m, thông 2 đầu . Cách đường Lê Hồng Phong ,Chợ Đông Thành 200m Sổ hồng riêng Hỗ trợ vay ngân hàng Giá 3 tỷ 950 TL",Nhà,Bình Dương,Dĩ An,Tân Đông Hiệp,Nguyễn Thị Minh Khai,,5040609440,82.8,4.0,4.0,,,3.0,3.0,Tây Nam,Tây Nam,2025-06-01T16:17:05.003000,10.914217,106.760739
