name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,area,floor_count,bedroom_count,bathroom_count,latitude,longitude,price,is_market_coverage
Nhà Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,An Giang,Trung tâm,,,,80.0,3.0,1.0,2.0,10.498811,105.122476,2211296641,True
Nhà Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,An Giang,Trung tâm,,,,120.0,3.0,1.0,1.0,10.512633,105.132878,3580079019,True
Nhà Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,An Giang,Trung tâm,,,,180.0,1.0,3.0,2.0,10.50071,105.109423,4966738640,True
Shophouse Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,An Giang,Trung tâm,,,,45.0,5.0,1.0,3.0,10.511331,105.123862,2054308667,True
Shophouse Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,An Giang,Trung tâm,,,,60.0,2.0,4.0,4.0,10.497169,105.147916,2525259401,True
Shophouse Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,An Giang,Trung tâm,,,,80.0,2.0,4.0,4.0,10.544601,105.149312,3295887814,True
Shophouse Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,An Giang,Trung tâm,,,,120.0,3.0,3.0,4.0,10.535219,105.121317,5542759261,True
Shophouse Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,An Giang,Trung tâm,,,,180.0,3.0,2.0,2.0,10.531538,105.14182,7371723265,True
Đất Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,An Giang,Trung tâm,,,,45.0,0.0,0.0,0.0,10.512626,105.112285,1162758328,True
Đất Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,An Giang,Trung tâm,,,,60.0,0.0,0.0,0.0,10.502726,105.122813,1444565604,True
Đất Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,An Giang,Trung tâm,,,,80.0,0.0,0.0,0.0,10.510854,105.109149,2026652259,True
Đất Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,An Giang,Trung tâm,,,,120.0,0.0,0.0,0.0,10.521609,105.11076,3059659036,True
Đất Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,An Giang,Trung tâm,,,,180.0,0.0,0.0,0.0,10.535521,105.109764,4245319733,True
Biệt thự/Nhà liền kề Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bà Rịa - Vũng Tàu,Trung tâm,,,,45.0,5.0,5.0,2.0,10.566306,107.235028,4153825669,True
Biệt thự/Nhà liền kề Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bà Rịa - Vũng Tàu,Trung tâm,,,,60.0,1.0,3.0,4.0,10.522974,107.254969,4576807090,True
Biệt thự/Nhà liền kề Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bà Rịa - Vũng Tàu,Trung tâm,,,,80.0,4.0,3.0,4.0,10.531711,107.232826,6446089159,True
Biệt thự/Nhà liền kề Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bà Rịa - Vũng Tàu,Trung tâm,,,,120.0,3.0,3.0,3.0,10.553491,107.245829,9189177777,True
Biệt thự/Nhà liền kề Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bà Rịa - Vũng Tàu,Trung tâm,,,,180.0,4.0,2.0,4.0,10.541481,107.240786,14433969890,True
Căn hộ chung cư Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bà Rịa - Vũng Tàu,Trung tâm,,,,45.0,2.0,4.0,4.0,10.528485,107.221665,1923794259,True
Căn hộ chung cư Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bà Rịa - Vũng Tàu,Trung tâm,,,,60.0,1.0,1.0,3.0,10.53805,107.267252,2269344143,True
Căn hộ chung cư Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bà Rịa - Vũng Tàu,Trung tâm,,,,80.0,3.0,3.0,2.0,10.521037,107.267107,3526661523,True
Căn hộ chung cư Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bà Rịa - Vũng Tàu,Trung tâm,,,,120.0,2.0,2.0,4.0,10.554802,107.232404,5088888998,True
Căn hộ chung cư Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bà Rịa - Vũng Tàu,Trung tâm,,,,180.0,1.0,5.0,4.0,10.55305,107.263067,8269209452,True
Nhà Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bà Rịa - Vũng Tàu,Trung tâm,,,,45.0,2.0,5.0,3.0,10.564637,107.256535,2916162879,True
Nhà Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bà Rịa - Vũng Tàu,Trung tâm,,,,60.0,4.0,5.0,4.0,10.526584,107.223228,3976302787,True
Nhà Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bà Rịa - Vũng Tàu,Trung tâm,,,,80.0,5.0,3.0,2.0,10.539016,107.227507,5500417718,True
Nhà Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bà Rịa - Vũng Tàu,Trung tâm,,,,120.0,2.0,3.0,1.0,10.524217,107.232771,7341930701,True
Nhà Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bà Rịa - Vũng Tàu,Trung tâm,,,,180.0,3.0,4.0,2.0,10.540432,107.242217,12117583164,True
Shophouse Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bà Rịa - Vũng Tàu,Trung tâm,,,,45.0,4.0,5.0,1.0,10.537956,107.240481,4531575303,True
Shophouse Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bà Rịa - Vũng Tàu,Trung tâm,,,,60.0,5.0,1.0,1.0,10.545025,107.246032,5878540870,True
Shophouse Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bà Rịa - Vũng Tàu,Trung tâm,,,,80.0,2.0,1.0,1.0,10.52416,107.253316,6771950335,True
Shophouse Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bà Rịa - Vũng Tàu,Trung tâm,,,,120.0,4.0,1.0,3.0,10.565422,107.22955,11599813918,True
Shophouse Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bà Rịa - Vũng Tàu,Trung tâm,,,,180.0,4.0,5.0,2.0,10.566093,107.245976,17763044892,True
Đất Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bà Rịa - Vũng Tàu,Trung tâm,,,,45.0,0.0,0.0,0.0,10.522624,107.239076,2457396435,True
Đất Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bà Rịa - Vũng Tàu,Trung tâm,,,,60.0,0.0,0.0,0.0,10.55361,107.264947,3167830246,True
Đất Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bà Rịa - Vũng Tàu,Trung tâm,,,,80.0,0.0,0.0,0.0,10.563227,107.223781,4167489241,True
Đất Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bà Rịa - Vũng Tàu,Trung tâm,,,,120.0,0.0,0.0,0.0,10.533316,107.246102,6349344196,True
Đất Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bà Rịa - Vũng Tàu,Trung tâm,,,,180.0,0.0,0.0,0.0,10.558182,107.257713,9385794270,True
Biệt thự/Nhà liền kề Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bạc Liêu,Trung tâm,,,,45.0,1.0,2.0,4.0,9.314257,105.705065,1483788635,True
Biệt thự/Nhà liền kề Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bạc Liêu,Trung tâm,,,,60.0,1.0,4.0,4.0,9.276226,105.740258,1875013613,True
Biệt thự/Nhà liền kề Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bạc Liêu,Trung tâm,,,,80.0,3.0,5.0,3.0,9.310295,105.707095,2934040944,True
Biệt thự/Nhà liền kề Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bạc Liêu,Trung tâm,,,,120.0,4.0,4.0,3.0,9.277369,105.751875,4519713964,True
Biệt thự/Nhà liền kề Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bạc Liêu,Trung tâm,,,,180.0,1.0,4.0,1.0,9.306393,105.709346,5735079680,True
Căn hộ chung cư Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bạc Liêu,Trung tâm,,,,45.0,1.0,1.0,4.0,9.304874,105.738947,709773111,True
Căn hộ chung cư Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bạc Liêu,Trung tâm,,,,60.0,3.0,2.0,1.0,9.303377,105.703394,1001035383,True
Căn hộ chung cư Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bạc Liêu,Trung tâm,,,,80.0,5.0,3.0,2.0,9.281191,105.73965,1345787621,True
Căn hộ chung cư Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bạc Liêu,Trung tâm,,,,120.0,3.0,3.0,4.0,9.318424,105.746979,2089671012,True
Căn hộ chung cư Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bạc Liêu,Trung tâm,,,,180.0,4.0,5.0,4.0,9.316602,105.732025,3324733733,True
Nhà Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bạc Liêu,Trung tâm,,,,45.0,2.0,4.0,2.0,9.28919,105.724499,1171088914,True
Nhà Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bạc Liêu,Trung tâm,,,,60.0,3.0,4.0,3.0,9.307767,105.750908,1765090588,True
Nhà Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bạc Liêu,Trung tâm,,,,80.0,3.0,3.0,3.0,9.314321,105.712346,2121686892,True
Nhà Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bạc Liêu,Trung tâm,,,,120.0,5.0,4.0,4.0,9.284405,105.750603,3439238742,True
Nhà Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bạc Liêu,Trung tâm,,,,180.0,5.0,3.0,3.0,9.279638,105.746463,5130663577,True
Shophouse Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bạc Liêu,Trung tâm,,,,45.0,4.0,3.0,3.0,9.269913,105.737086,1809042250,True
Shophouse Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bạc Liêu,Trung tâm,,,,60.0,1.0,5.0,3.0,9.294556,105.743038,2144123629,True
Shophouse Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bạc Liêu,Trung tâm,,,,80.0,1.0,2.0,2.0,9.294562,105.718278,2927810350,True
Shophouse Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bạc Liêu,Trung tâm,,,,120.0,4.0,1.0,4.0,9.317281,105.704512,5024232240,True
Shophouse Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bạc Liêu,Trung tâm,,,,180.0,1.0,5.0,2.0,9.314072,105.72334,6733091348,True
Đất Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bạc Liêu,Trung tâm,,,,45.0,0.0,0.0,0.0,9.27513,105.737119,994801517,True
Đất Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bạc Liêu,Trung tâm,,,,60.0,0.0,0.0,0.0,9.313221,105.74212,1447209478,True
Đất Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bạc Liêu,Trung tâm,,,,80.0,0.0,0.0,0.0,9.304934,105.750566,1883918521,True
Đất Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bạc Liêu,Trung tâm,,,,120.0,0.0,0.0,0.0,9.271972,105.747224,2877871561,True
Đất Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bạc Liêu,Trung tâm,,,,180.0,0.0,0.0,0.0,9.294444,105.745987,3953187999,True
Biệt thự/Nhà liền kề Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Giang,Trung tâm,,,,45.0,4.0,2.0,1.0,21.251046,106.188476,1490095994,True
Biệt thự/Nhà liền kề Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Giang,Trung tâm,,,,60.0,3.0,2.0,4.0,21.258131,106.207322,1870277128,True
Biệt thự/Nhà liền kề Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Giang,Trung tâm,,,,80.0,5.0,5.0,1.0,21.267723,106.171233,2763191217,True
Biệt thự/Nhà liền kề Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Giang,Trung tâm,,,,120.0,3.0,1.0,3.0,21.262363,106.173684,3920236763,True
Biệt thự/Nhà liền kề Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Giang,Trung tâm,,,,180.0,4.0,1.0,4.0,21.281016,106.192736,6093385702,True
Căn hộ chung cư Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Giang,Trung tâm,,,,45.0,4.0,3.0,2.0,21.267568,106.196622,715729159,True
Căn hộ chung cư Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Giang,Trung tâm,,,,60.0,1.0,5.0,3.0,21.270633,106.203811,1043950327,True
Căn hộ chung cư Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Giang,Trung tâm,,,,80.0,5.0,5.0,2.0,21.28801,106.213924,1370923324,True
Căn hộ chung cư Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Giang,Trung tâm,,,,120.0,2.0,4.0,4.0,21.275503,106.180545,2057986914,True
Căn hộ chung cư Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Giang,Trung tâm,,,,180.0,5.0,5.0,3.0,21.298032,106.182417,3078348153,True
Nhà Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Giang,Trung tâm,,,,45.0,5.0,4.0,3.0,21.256901,106.21663,1217941929,True
Nhà Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Giang,Trung tâm,,,,60.0,4.0,2.0,4.0,21.280479,106.190024,1605162035,True
Nhà Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Giang,Trung tâm,,,,80.0,2.0,1.0,4.0,21.26518,106.180363,1856302871,True
Nhà Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Giang,Trung tâm,,,,120.0,4.0,1.0,2.0,21.25859,106.214925,3197298039,True
Nhà Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Giang,Trung tâm,,,,180.0,1.0,5.0,2.0,21.292427,106.197487,4258040289,True
Shophouse Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Giang,Trung tâm,,,,45.0,5.0,3.0,3.0,21.287587,106.196082,1726570535,True
Shophouse Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Giang,Trung tâm,,,,60.0,1.0,3.0,2.0,21.251476,106.180834,1952953898,True
Shophouse Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Giang,Trung tâm,,,,80.0,4.0,4.0,1.0,21.289659,106.190329,2961404291,True
Shophouse Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Giang,Trung tâm,,,,120.0,3.0,1.0,3.0,21.284806,106.178968,4127466406,True
Shophouse Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Giang,Trung tâm,,,,180.0,1.0,2.0,1.0,21.293817,106.198933,6084971274,True
Đất Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Giang,Trung tâm,,,,45.0,0.0,0.0,0.0,21.276933,106.185444,891877912,True
Đất Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Giang,Trung tâm,,,,60.0,0.0,0.0,0.0,21.28085,106.204684,1217823859,True
Đất Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Giang,Trung tâm,,,,80.0,0.0,0.0,0.0,21.263238,106.187253,1651149685,True
Đất Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Giang,Trung tâm,,,,120.0,0.0,0.0,0.0,21.295299,106.197833,2636370324,True
Đất Trung tâm Bắc Giang,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Giang,Trung tâm,,,,180.0,0.0,0.0,0.0,21.287944,106.199469,3809954951,True
Biệt thự/Nhà liền kề Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Kạn,Trung tâm,,,,45.0,1.0,3.0,4.0,22.171033,105.850158,1084414515,True
Biệt thự/Nhà liền kề Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Kạn,Trung tâm,,,,60.0,4.0,5.0,3.0,22.133077,105.812452,1543179716,True
Biệt thự/Nhà liền kề Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Kạn,Trung tâm,,,,80.0,2.0,5.0,1.0,22.149821,105.812261,1846618023,True
Biệt thự/Nhà liền kề Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Kạn,Trung tâm,,,,120.0,3.0,3.0,1.0,22.155413,105.823538,2810221097,True
Biệt thự/Nhà liền kề Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Kạn,Trung tâm,,,,180.0,4.0,1.0,1.0,22.127485,105.819559,4672871409,True
Căn hộ chung cư Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Kạn,Trung tâm,,,,45.0,2.0,1.0,3.0,22.168997,105.858681,508168072,True
Căn hộ chung cư Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Kạn,Trung tâm,,,,60.0,1.0,5.0,1.0,22.16337,105.848371,851132770,True
Căn hộ chung cư Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Kạn,Trung tâm,,,,80.0,3.0,1.0,4.0,22.136405,105.840821,961755665,True
Căn hộ chung cư Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Kạn,Trung tâm,,,,120.0,5.0,2.0,1.0,22.143472,105.844124,1491197657,True
Căn hộ chung cư Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bắc Kạn,Trung tâm,,,,180.0,1.0,4.0,2.0,22.148869,105.832468,2325443870,True
Nhà Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Kạn,Trung tâm,,,,45.0,1.0,5.0,2.0,22.130185,105.849615,848408587,True
Nhà Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Kạn,Trung tâm,,,,60.0,4.0,1.0,2.0,22.150476,105.844951,1122860694,True
Nhà Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Kạn,Trung tâm,,,,80.0,1.0,5.0,2.0,22.157585,105.833062,1412757022,True
Nhà Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Kạn,Trung tâm,,,,120.0,1.0,2.0,1.0,22.13402,105.844289,2147478367,True
Nhà Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bắc Kạn,Trung tâm,,,,180.0,3.0,4.0,2.0,22.138402,105.854796,3657580827,True
Shophouse Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Kạn,Trung tâm,,,,45.0,5.0,2.0,4.0,22.141062,105.824092,1372939430,True
Shophouse Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Kạn,Trung tâm,,,,60.0,5.0,4.0,1.0,22.17183,105.85631,1841728459,True
Shophouse Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Kạn,Trung tâm,,,,80.0,3.0,4.0,3.0,22.155863,105.854994,2439362924,True
Shophouse Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Kạn,Trung tâm,,,,120.0,5.0,4.0,4.0,22.129658,105.844095,3617791575,True
Shophouse Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Bắc Kạn,Trung tâm,,,,180.0,5.0,5.0,1.0,22.160152,105.821909,5806437948,True
Đất Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Kạn,Trung tâm,,,,45.0,0.0,0.0,0.0,22.130401,105.843238,711729710,True
Đất Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Kạn,Trung tâm,,,,60.0,0.0,0.0,0.0,22.14002,105.841246,1016935596,True
Đất Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Kạn,Trung tâm,,,,80.0,0.0,0.0,0.0,22.162559,105.846235,1330884598,True
Đất Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Kạn,Trung tâm,,,,120.0,0.0,0.0,0.0,22.126132,105.813989,1993461707,True
Đất Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Đất,Bắc Kạn,Trung tâm,,,,180.0,0.0,0.0,0.0,22.152147,105.846651,3037233108,True
Biệt thự/Nhà liền kề Trung tâm Bắc Ninh,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Ninh,Trung tâm,,,,45.0,2.0,5.0,3.0,21.163109,106.080011,3088456022,True
Biệt thự/Nhà liền kề Trung tâm Bắc Ninh,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Ninh,Trung tâm,,,,60.0,3.0,4.0,2.0,21.177605,106.068741,4215397407,True
Biệt thự/Nhà liền kề Trung tâm Bắc Ninh,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Ninh,Trung tâm,,,,80.0,3.0,3.0,4.0,21.188942,106.099203,5376962285,True
Biệt thự/Nhà liền kề Trung tâm Bắc Ninh,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Ninh,Trung tâm,,,,120.0,4.0,4.0,3.0,21.174923,106.090566,8119934336,True
Biệt thự/Nhà liền kề Trung tâm Bắc Ninh,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Ninh,Trung tâm,,,,180.0,3.0,4.0,4.0,21.172086,106.072185,11795932571,True
